# non-physical-nouns.tsv
#
# 16958 single-word English common nouns for which NO sense in Open English
# WordNet 2024 inherits from `physical entity` or `thing`. Every sense of every
# lemma below traces upward to `abstraction`.
#
# Generated: 2026-08-20
#
# ---------------------------------------------------------------------------
# ATTRIBUTION (required — this file is a derivative work)
# ---------------------------------------------------------------------------
# Derived from Open English WordNet 2024
#   https://github.com/globalwordnet/english-wordnet
#   Licensed under Creative Commons Attribution 4.0 International (CC BY 4.0)
#   https://creativecommons.org/licenses/by/4.0/
#
# Cite as:
#   John P. McCrae, Alexandre Rademaker, Francis Bond, Ewa Rudnicka and
#   Christiane Fellbaum (2019) "English WordNet 2019 - An Open-Source WordNet
#   for English." In Proceedings of the 10th Global WordNet Conference (GWC
#   2019), Wroclaw.
#
# CC BY 4.0 permits commercial use and redistribution provided attribution is
# given and changes are indicated. Changes made here: filtered to single-word
# lowercase noun lemmas; removed lemmas having any `physical entity` sense;
# annotated each remaining lemma with its immediate branch(es) under
# `abstraction`; no lexical content was altered.
# ---------------------------------------------------------------------------
#
# FORMAT: lemma<TAB>branches   (branches semicolon-separated when a lemma has
# senses in more than one branch)
#
# Branch counts (as sole branch):
#   attribute: 4983
#   event: 3738
#   psychological feature: 1707
#   communication: 1402
#   measure: 1029
#   group: 586
#   relation: 542
#   right: 8
#   absolute: 1
#   otherworld: 1
#   set: 1
#   (multi-branch lemmas: 2960)
#
# NOTE ON `group`: WordNet files collective nouns (crowd, committee, herd)
# under `abstraction`. 586 lemmas here are group-only and are arguably
# concrete. Filter with: awk -F'\t' '$2 !~ /group/' non-physical-nouns.tsv
#
lemma	branches
angiosarcoma	attribute
angiotelectasia	attribute
angling	event
angriness	attribute
angst	attribute
angstrom	measure
anguish	attribute
angularity	attribute
angulation	event
anhedonia	attribute
anhidrosis	attribute
anhydrosis	attribute
anima	attribute
animadversion	communication
animalisation	event
animalism	attribute;psychological feature
animality	attribute
animateness	attribute
animation	attribute;event
animatism	psychological feature
animatronics	psychological feature
animism	psychological feature
animosity	attribute
animus	attribute
aniseikonia	attribute
anisometropia	attribute
anisotropy	attribute
ankyloglossia	attribute
ankylosis	attribute
anna	measure
annalism	event
annealing	event
annexation	event
annihilation	event
anniversary	measure
annotating	event
annotation	communication;event
announcement	communication
annoying	event
annuity	relation
annulment	attribute;event
annum	measure
annunciation	communication
anoestrum	attribute
anoestrus	attribute
anointing	event
anointment	event
anomalousness	attribute
anomia	attribute
anomie	attribute
anomy	attribute
anonym	relation
anonymity	attribute
anopia	attribute
anorchia	attribute
anorchidism	attribute
anorchism	attribute
anorexia	attribute
anorgasmia	attribute
anorthography	attribute
anorthopia	attribute
anosmia	attribute
anoxemia	attribute
anoxia	attribute
answerability	attribute
answerableness	attribute
antagonism	attribute;event;relation
ante	relation
antecedence	attribute
antecedency	attribute
antepenult	relation
antepenultima	relation
antepenultimate	relation
anteriority	attribute;relation
anthem	communication;psychological feature
anthracosis	attribute
anthrax	attribute
anthropocentricity	psychological feature
anthropocentrism	psychological feature
anthropolatry	event
anthropologism	psychological feature
anthropology	psychological feature
anthropometry	event
anthropomorphism	psychological feature
anthropopathism	psychological feature
anthropophagy	event
anthroposophy	psychological feature
antialiasing	psychological feature
antibiosis	group
antic	event
anticipation	attribute;psychological feature
anticlimax	communication;event
anticoagulation	event
antiestablishmentarianism	psychological feature
antiestablishmentism	psychological feature
antifeminism	event
antigram	relation
antihero	psychological feature
antilog	communication
antilogarithm	communication
antilogism	relation
antimetathesis	communication
antinomasia	communication
antinomianism	psychological feature
antinomy	communication
antipathy	attribute;psychological feature
antiphon	communication;psychological feature
antiphonal	communication;psychological feature
antiphonary	communication;psychological feature
antiphony	communication;psychological feature
antiphrasis	communication
antipodal	relation
antipode	relation
antipyresis	event
antiquatedness	attribute
antiqueness	attribute
antireligiousness	attribute
antisemitism	psychological feature
antistrophe	communication
antithesis	communication;relation
antitype	psychological feature
antonym	relation
antonymy	relation
anuresis	attribute
anuria	attribute
anxiety	attribute
anxiousness	attribute
aorist	group
aortitis	psychological feature
apanage	relation
apartheid	psychological feature
apathy	attribute
apercu	communication
apery	event;psychological feature
aphagia	attribute
aphakia	attribute
aphasia	attribute
aphonia	attribute
aphorism	communication
aphrodisia	attribute
apicalization	attribute
apiculture	event
aplasia	attribute
aplomb	attribute
apnea	psychological feature
apocalypse	event
apocope	relation
apocryphalness	attribute
apoliticism	attribute;psychological feature
apologetics	psychological feature
apologia	communication
apologue	communication
apology	communication;psychological feature
apophasis	communication
apophatism	attribute;psychological feature
apophthegm	communication
apoplexy	event
aposiopesis	communication
apostasy	attribute;event
apostleship	event
apostrophe	communication
apothegm	communication
appalling	event
appanage	relation
apparency	attribute
apparentness	attribute
apparition	event;psychological feature
appeal	attribute;communication;event
appealingness	attribute
appearance	attribute;event;psychological feature
appearing	event
appeasement	event
appellation	relation
appellative	relation
appendectomy	event
appendicectomy	event
appendicitis	psychological feature
apperception	psychological feature
appetence	attribute
appetency	attribute
appetisingness	attribute
appetite	attribute
appetizingness	attribute
applause	communication
applet	communication
applicability	relation
appoggiatura	communication
